Instance	Label	Score	Probability	Log-loss	Assigned
0	0	-9.42309	0.00891076	0.012913128393812673	0
1	0	-0.780937254	0.4036045	0.74565874084578909	0
2	0	-8.80709648	0.0120859956	0.017542630889672291	0
3	0	-0.8294407	0.3977808	0.73163940393192184	0
4	0	-9.42309	0.00891076	0.012913128393812673	0
5	1	8.721046	0.9873894	0.018308958497793435	1
6	0	-2.73920369	0.202684179	0.32677679825805495	0
7	0	-9.42309	0.00891076	0.012913128393812673	0
8	0	-8.48403549	0.014174738	0.020596143963457509	0
9	0	-9.42309	0.00891076	0.012913128393812673	0
10	0	-9.42309	0.00891076	0.012913128393812673	0
11	0	-9.42309	0.00891076	0.012913128393812673	0
12	1	2.61111	0.7867684	0.34598912343179539	1
13	0	-7.258053	0.02585575	0.037792674146984756	0
14	1	8.721046	0.9873894	0.018308958497793435	1
15	1	4.10498	0.886199	0.1742974000947822	1
16	0	-9.42309	0.00891076	0.012913128393812673	0
17	0	-9.42309	0.00891076	0.012913128393812673	0
18	1	6.90483141	0.9693031	0.044980271986360558	1
19	0	-9.42309	0.00891076	0.012913128393812673	0
20	1	7.5478034	0.9775531	0.032752981065952425	1
21	1	8.272103	0.9842657	0.022880296790356316	1
22	0	-9.42309	0.00891076	0.012913128393812673	0
23	1	6.670823	0.965623856	0.050466776792102756	1
24	0	-9.42309	0.00891076	0.012913128393812673	0
25	1	0.9518685	0.6167874	0.69715486210152822	1
26	0	-9.42309	0.00891076	0.012913128393812673	0
27	0	-9.42309	0.00891076	0.012913128393812673	0
28	0	-9.42309	0.00891076	0.012913128393812673	0
29	0	-9.42309	0.00891076	0.012913128393812673	0
30	0	-9.42309	0.00891076	0.012913128393812673	0
31	0	-9.42309	0.00891076	0.012913128393812673	0
32	1	8.289425	0.984399259	0.022684522937463789	1
33	0	-9.42309	0.00891076	0.012913128393812673	0
34	0	-9.42309	0.00891076	0.012913128393812673	0
35	0	-9.42309	0.00891076	0.012913128393812673	0
36	1	9.018878	0.9891152	0.015789567939058113	1
37	0	-6.88515854	0.030990934	0.045417931400883203	0
38	1	7.36997652	0.975517	0.035761117564614288	1
39	1	6.32124233	0.9593252	0.059908148505318656	1
40	0	8.721046	0.9873894	6.3092176345168705	1
41	1	5.499888	0.9399102	0.089405208904968822	1
